id,Race,Class,Boost,STR,INT,WIS,DEX,CON
145,Mul,Shukenja,10,70,56,58,66,68
146,Mul,Bard,-20,70,56,58,66,68
147,Mul,Jongleur,0,70,52,54,74,68
148,Mul,Charlatan,0,70,56,58,66,68
149,Mul,Skald,0,74,52,58,66,68
150,Mul,Brew,20,78,52,54,66,68
151,S-Elf,(none),N/A,35,82,82,69,40
152,S-Elf,Warrior,20,43,82,82,69,44
153,S-Elf,Barbarian,N/A,39,82,82,69,48
154,S-Elf,Ranger,20,35,82,86,77,40
155,S-Elf,Swash,10,39,82,82,77,40
156,S-Elf,Armsman,10,43,82,82,69,44
157,S-Elf,Samurai,10,43,82,82,69,44
158,S-Elf,Thief,0,35,86,82,77,40
159,S-Elf,Assassin,10,35,86,82,77,40
160,S-Elf,Bandit,-10,39,82,82,77,40
161,S-Elf,Pirate,0,35,86,82,77,40
162,S-Elf,Nightshade,20,35,86,82,77,40
163,S-Elf,Ninja,20,39,82,82,77,40
164,S-Elf,Mage,20,35,90,86,69,40
165,S-Elf,Illusionist,10,35,90,86,69,40
166,S-Elf,Warlock,N/A,35,90,82,73,40
167,S-Elf,Enchanter,10,35,90,86,69,40
168,S-Elf,Mentalist,20,35,90,86,69,40
169,S-Elf,WuJen,20,35,90,86,69,40
170,S-Elf,Cleric,20,35,86,90,69,40
171,S-Elf,Crusader,0,35,82,90,69,44
172,S-Elf,Druid,10,35,82,90,73,40
173,S-Elf,Shaman,N/A,35,86,90,69,40
174,S-Elf,Priest,20,35,86,90,69,40
175,S-Elf,Shukenja,10,35,86,90,69,40
176,S-Elf,Bard,10,35,86,90,69,40
177,S-Elf,Jongleur,0,35,82,86,77,40
178,S-Elf,Charlatan,-10,35,86,90,69,40
179,S-Elf,Skald,0,39,82,90,69,40
180,S-Elf,Brew,0,43,82,86,69,40
181,H-Elf,(none),N/A,50,69,69,63,49
182,H-Elf,Warrior,0,58,69,69,63,53
183,H-Elf,Barbarian,0,54,69,69,63,57
184,H-Elf,Ranger,10,50,69,73,71,49
185,H-Elf,Swash,10,54,69,69,71,49
186,H-Elf,Armsman,10,58,69,69,63,53
187,H-Elf,Samurai,20,58,69,69,63,53
188,H-Elf,Thief,10,50,73,69,71,49
189,H-Elf,Assassin,10,50,73,69,71,49
190,H-Elf,Bandit,10,54,69,69,71,49
191,H-Elf,Pirate,0,50,73,69,71,49
192,H-Elf,Nightshade,10,50,73,69,71,49
193,H-Elf,Ninja,20,54,69,69,71,49
194,H-Elf,Mage,0,50,77,73,63,49
195,H-Elf,Illusionist,0,50,77,73,63,49
196,H-Elf,Warlock,0,50,77,69,67,49
197,H-Elf,Enchanter,0,50,77,73,63,49
198,H-Elf,Mentalist,10,50,77,73,63,49
199,H-Elf,WuJen,20,50,77,73,63,49
200,H-Elf,Cleric,10,50,73,77,63,49
201,H-Elf,Crusader,10,50,69,77,63,53
202,H-Elf,Druid,10,50,69,77,67,49
203,H-Elf,Shaman,0,50,73,77,63,49
204,H-Elf,Priest,0,50,73,77,63,49
205,H-Elf,Shukenja,10,50,73,77,63,49
206,H-Elf,Bard,10,50,73,77,63,49
207,H-Elf,Jongleur,10,50,69,73,71,49
208,H-Elf,Charlatan,10,50,73,77,63,49
209,H-Elf,Skald,10,54,69,77,63,49
210,H-Elf,Brew,10,58,69,73,63,49
211,D-Elf,(none),N/A,35,81,81,69,42
212,D-Elf,Warrior,0,43,81,81,69,46
213,D-Elf,Barbarian,10,39,81,81,69,50
214,D-Elf,Ranger,0,35,81,85,77,42
215,D-Elf,Swash,0,39,81,81,77,42
216,D-Elf,Armsman,10,43,81,81,69,46
217,D-Elf,Samurai,10,43,81,81,69,46
218,D-Elf,Thief,10,35,85,81,77,42
219,D-Elf,Assassin,10,35,85,81,77,42
220,D-Elf,Bandit,10,39,81,81,77,42
221,D-Elf,Pirate,0,35,85,81,77,42
222,D-Elf,Nightshade,20,35,85,81,77,42
223,D-Elf,Ninja,20,39,81,81,77,42
224,D-Elf,Mage,20,35,89,85,69,42
225,D-Elf,Illusionist,10,35,89,85,69,42
226,D-Elf,Warlock,0,35,89,81,73,42
227,D-Elf,Enchanter,10,35,89,85,69,42
228,D-Elf,Mentalist,20,35,89,85,69,42
229,D-Elf,WuJen,20,35,89,85,69,42
230,D-Elf,Cleric,20,35,85,89,69,42
231,D-Elf,Crusader,0,35,81,89,69,46
232,D-Elf,Druid,0,35,81,89,73,42
233,D-Elf,Shaman,0,35,85,89,69,42
234,D-Elf,Priest,10,35,85,89,69,42
235,D-Elf,Shukenja,20,35,85,89,69,42
236,D-Elf,Bard,0,35,85,89,69,42
237,D-Elf,Jongleur,0,35,81,85,77,42
238,D-Elf,Charlatan,0,35,85,89,69,42
239,D-Elf,Skald,0,39,81,89,69,42
240,D-Elf,Brew,0,43,81,85,69,42
241,W-Elf,(none),N/A,49,64,56,78,52
242,W-Elf,Warrior,10,57,64,56,78,56
243,W-Elf,Barbarian,20,53,64,56,78,60
244,W-Elf,Ranger,30,49,64,60,86,52
245,W-Elf,Swash,-10,53,64,56,86,52
246,W-Elf,Armsman,0,57,64,56,78,56
247,W-Elf,Samurai,10,57,64,56,78,56
248,W-Elf,Thief,0,49,68,56,86,52
249,W-Elf,Assassin,20,49,68,56,86,52
250,W-Elf,Bandit,0,53,64,56,86,52
251,W-Elf,Pirate,0,49,68,56,86,52
252,W-Elf,Nightshade,10,49,68,56,86,52
253,W-Elf,Ninja,10,53,64,56,86,52
254,W-Elf,Mage,-10,49,72,60,78,52
255,W-Elf,Illusionist,-10,49,72,60,78,52
256,W-Elf,Warlock,0,49,72,56,82,52
257,W-Elf,Enchanter,-10,49,72,60,78,52
258,W-Elf,Mentalist,-10,49,72,60,78,52
259,W-Elf,WuJen,0,49,72,60,78,52
260,W-Elf,Cleric,0,49,68,64,78,52
261,W-Elf,Crusader,0,49,64,64,78,56
262,W-Elf,Druid,20,49,64,64,82,52
263,W-Elf,Shaman,10,49,68,64,78,52
264,W-Elf,Priest,0,49,68,64,78,52
265,W-Elf,Shukenja,10,49,68,64,78,52
266,W-Elf,Bard,0,49,68,64,78,52
267,W-Elf,Jongleur,-10,49,64,60,86,52
268,W-Elf,Charlatan,0,49,68,64,78,52
269,W-Elf,Skald,0,53,64,64,78,52
270,W-Elf,Brew,0,57,64,60,78,52
271,Sea-Elf,(none),N/A,40,76,72,70,44
272,Sea-Elf,Warrior,-10,48,76,72,70,48
273,Sea-Elf,Barbarian,0,44,76,72,70,52
274,Sea-Elf,Ranger,10,40,76,76,78,44
275,Sea-Elf,Swash,10,44,76,72,78,44
276,Sea-Elf,Armsman,-10,48,76,72,70,48
277,Sea-Elf,Samurai,0,48,76,72,70,48
278,Sea-Elf,Thief,0,40,80,72,78,44
279,Sea-Elf,Assassin,0,40,80,72,78,44
280,Sea-Elf,Bandit,-10,44,76,72,78,44
281,Sea-Elf,Pirate,0,40,80,72,78,44
282,Sea-Elf,Nightshade,0,40,80,72,78,44
283,Sea-Elf,Ninja,10,44,76,72,78,44
284,Sea-Elf,Mage,10,40,84,76,70,44
285,Sea-Elf,Illusionist,10,40,84,76,70,44
286,Sea-Elf,Warlock,-10,40,84,72,74,44
287,Sea-Elf,Enchanter,10,40,84,76,70,44
288,Sea-Elf,Mentalist,10,40,84,76,70,44
289,Sea-Elf,WuJen,20,40,84,76,70,44
290,Sea-Elf,Cleric,10,40,80,80,70,44
291,Sea-Elf,Crusader,0,40,76,80,70,48
292,Sea-Elf,Druid,10,40,76,80,74,44
293,Sea-Elf,Shaman,0,40,80,80,70,44
294,Sea-Elf,Priest,0,40,80,80,70,44
295,Sea-Elf,Shukenja,10,40,80,80,70,44
296,Sea-Elf,Bard,0,40,80,80,70,44
297,Sea-Elf,Jongleur,0,40,76,76,78,44
298,Sea-Elf,Charlatan,-10,40,80,80,70,44
299,Sea-Elf,Skald,0,44,76,80,70,44
300,Sea-Elf,Brew,0,48,76,76,70,44
301,Goblin,(none),N/A,52,60,48,83,58
302,Goblin,Warrior,0,60,60,48,83,62
303,Goblin,Barbarian,0,56,60,48,83,66
304,Goblin,Ranger,N/A,52,60,52,91,58
305,Goblin,Swash,N/A,56,60,48,91,58
306,Goblin,Armsman,0,60,60,48,83,62
307,Goblin,Samurai,0,60,60,48,83,62
308,Goblin,Thief,10,52,64,48,91,58
309,Goblin,Assassin,0,52,64,48,91,58
310,Goblin,Bandit,10,56,60,48,91,58
311,Goblin,Pirate,0,52,64,48,91,58
312,Goblin,Nightshade,10,52,64,48,91,58
313,Goblin,Ninja,20,56,60,48,91,58
314,Goblin,Mage,-10,52,68,52,83,58
315,Goblin,Illusionist,-10,52,68,52,83,58
316,Goblin,Warlock,10,52,68,48,87,58
317,Goblin,Enchanter,-10,52,68,52,83,58
318,Goblin,Mentalist,-10,52,68,52,83,58
319,Goblin,WuJen,10,52,68,52,83,58
320,Goblin,Cleric,-10,52,64,56,83,58
321,Goblin,Crusader,-10,52,60,56,83,62
322,Goblin,Druid,N/A,52,60,56,87,58
323,Goblin,Shaman,10,52,64,56,83,58
324,Goblin,Priest,-10,52,64,56,83,58
325,Goblin,Shukenja,10,52,64,56,83,58
326,Goblin,Bard,-20,52,64,56,83,58
327,Goblin,Jongleur,-10,52,60,52,91,58
328,Goblin,Charlatan,10,52,64,56,83,58
329,Goblin,Skald,-20,56,60,56,83,58
330,Goblin,Brew,10,60,60,52,83,58
331,Bugbear,(none),N/A,78,49,49,46,80
332,Bugbear,Warrior,20,86,49,49,46,84
333,Bugbear,Barbarian,20,60,49,49,46,88
334,Bugbear,Ranger,-10,78,49,53,54,80
335,Bugbear,Swash,N/A,82,49,49,54,80
336,Bugbear,Armsman,0,86,49,49,46,84
337,Bugbear,Samurai,-10,86,49,49,46,84
338,Bugbear,Thief,0,78,53,49,54,80
339,Bugbear,Assassin,N/A,78,53,49,54,80
340,Bugbear,Bandit,0,82,49,49,54,80
341,Bugbear,Pirate,N/A,78,53,49,54,80
342,Bugbear,Nightshade,N/A,78,53,49,54,80
343,Bugbear,Ninja,-10,82,49,49,54,80
344,Bugbear,Mage,N/A,78,57,53,46,80
345,Bugbear,Illusionist,N/A,78,57,53,46,80
346,Bugbear,Warlock,N/A,78,57,49,50,80
347,Bugbear,Enchanter,N/A,78,57,53,46,80
348,Bugbear,Mentalist,N/A,78,57,53,46,80
349,Bugbear,WuJen,N/A,78,57,53,46,80
350,Bugbear,Cleric,-10,78,53,57,46,80
351,Bugbear,Crusader,N/A,78,49,57,46,84
352,Bugbear,Druid,N/A,78,49,57,50,80
353,Bugbear,Shaman,10,78,53,57,46,80
354,Bugbear,Priest,N/A,78,53,57,46,80
355,Bugbear,Shukenja,-10,78,53,57,46,80
356,Bugbear,Bard,N/A,78,53,57,46,80
357,Bugbear,Jongleur,N/A,78,49,53,54,80
358,Bugbear,Charlatan,N/A,78,53,57,46,80
359,Bugbear,Skald,N/A,82,49,57,46,80
360,Bugbear,Brew,N/A,86,49,53,46,80
361,Hobgob,(none),N/A,65,55,55,60,65
362,Hobgob,Warrior,20,73,55,55,60,69
363,Hobgob,Barbarian,10,69,55,55,60,73
364,Hobgob,Ranger,0,65,55,59,68,65
365,Hobgob,Swash,N/A,69,55,55,68,65
366,Hobgob,Armsman,10,73,55,55,60,69
367,Hobgob,Samurai,-10,73,55,55,60,69
368,Hobgob,Thief,10,65,59,55,68,65
369,Hobgob,Assassin,20,65,59,55,68,65
370,Hobgob,Bandit,0,69,55,55,68,65
371,Hobgob,Pirate,0,65,59,55,68,65
372,Hobgob,Nightshade,0,65,59,55,68,65
373,Hobgob,Ninja,10,69,55,55,68,65
374,Hobgob,Mage,0,65,63,59,60,65
375,Hobgob,Illusionist,-10,65,63,59,60,65
376,Hobgob,Warlock,0,65,63,55,64,65
377,Hobgob,Enchanter,N/A,65,63,59,60,65
378,Hobgob,Mentalist,-10,65,63,59,60,65
379,Hobgob,WuJen,-10,65,63,59,60,65
380,Hobgob,Cleric,0,65,59,63,60,65
381,Hobgob,Crusader,N/A,65,55,63,60,69
382,Hobgob,Druid,N/A,65,55,63,64,65
383,Hobgob,Shaman,10,65,59,63,60,65
384,Hobgob,Priest,10,65,59,63,60,65
385,Hobgob,Shukenja,10,65,59,63,60,65
386,Hobgob,Bard,0,65,59,63,60,65
387,Hobgob,Jongleur,0,65,55,59,68,65
388,Hobgob,Charlatan,0,65,59,63,60,65
389,Hobgob,Skald,-20,69,55,63,60,65
390,Hobgob,Brew,0,73,55,59,60,65
391,Deep Gn,(none),N/A,39,71,92,52,54
392,Deep Gn,Warrior,-10,47,71,92,52,58
393,Deep Gn,Barbarian,-10,43,71,92,52,62
394,Deep Gn,Ranger,-10,39,71,96,60,54
395,Deep Gn,Swash,N/A,43,71,92,60,54
396,Deep Gn,Armsman,-20,47,71,92,52,58
397,Deep Gn,Samurai,-10,47,71,92,52,58
398,Deep Gn,Thief,0,39,75,92,60,54
399,Deep Gn,Assassin,-10,39,75,92,60,54
400,Deep Gn,Bandit,-10,43,71,92,60,54
401,Deep Gn,Pirate,0,39,75,92,60,54
402,Deep Gn,Nightshade,10,39,75,92,60,54
403,Deep Gn,Ninja,-10,43,71,92,60,54
404,Deep Gn,Mage,10,39,79,96,52,54
405,Deep Gn,Illusionist,20,39,79,96,52,54
406,Deep Gn,Warlock,-10,39,79,92,56,54
407,Deep Gn,Enchanter,0,39,79,96,52,54
408,Deep Gn,Mentalist,30,39,79,96,52,54
409,Deep Gn,WuJen,20,39,79,96,52,54
410,Deep Gn,Cleric,0,39,75,100,52,54
411,Deep Gn,Crusader,-10,39,71,100,52,58
412,Deep Gn,Druid,0,39,71,100,56,54
413,Deep Gn,Shaman,-10,39,75,100,52,54
414,Deep Gn,Priest,0,39,75,100,52,54
415,Deep Gn,Shukenja,20,39,75,100,52,54
416,Deep Gn,Bard,-20,39,75,100,52,54
417,Deep Gn,Jongleur,-10,39,71,96,60,54
418,Deep Gn,Charlatan,-10,39,75,100,52,54
419,Deep Gn,Skald,0,43,71,100,52,54
420,Deep Gn,Brew,0,47,71,96,52,54
421,Tink Gn,(none),N/A,36,92,71,55,46
422,Tink Gn,Warrior,0,44,92,71,55,50
423,Tink Gn,Barbarian,N/A,40,92,71,55,54
424,Tink Gn,Ranger,0,36,92,75,63,46
425,Tink Gn,Swash,0,40,92,71,63,46
426,Tink Gn,Armsman,-20,44,92,71,55,50
427,Tink Gn,Samurai,-10,44,92,71,55,50
428,Tink Gn,Thief,0,36,96,71,63,46
429,Tink Gn,Assassin,-10,36,96,71,63,46
430,Tink Gn,Bandit,-10,40,92,71,63,46
431,Tink Gn,Pirate,0,36,96,71,63,46
432,Tink Gn,Nightshade,0,36,96,71,63,46
433,Tink Gn,Ninja,-10,40,92,71,63,46
434,Tink Gn,Mage,0,36,100,75,55,46
435,Tink Gn,Illusionist,10,36,100,75,55,46
436,Tink Gn,Warlock,N/A,36,100,71,59,46
437,Tink Gn,Enchanter,10,36,100,75,55,46
438,Tink Gn,Mentalist,20,36,100,75,55,46
439,Tink Gn,WuJen,10,36,100,75,55,46
440,Tink Gn,Cleric,0,36,96,79,55,46
441,Tink Gn,Crusader,0,36,92,79,55,50
442,Tink Gn,Druid,0,36,92,79,59,46
443,Tink Gn,Shaman,N/A,36,96,79,55,46
444,Tink Gn,Priest,0,36,96,79,55,46
445,Tink Gn,Shukenja,-10,36,96,79,55,46
446,Tink Gn,Bard,0,36,96,79,55,46
447,Tink Gn,Jongleur,-10,36,92,75,63,46
448,Tink Gn,Charlatan,-10,36,96,79,55,46
449,Tink Gn,Skald,0,40,92,79,55,46
450,Tink Gn,Brew,0,44,92,75,55,46
451,Ogre,(none),N/A,85,34,45,40,85
452,Ogre,Warrior,30,93,34,45,40,89
453,Ogre,Barbarian,10,89,34,45,40,93
454,Ogre,Ranger,-10,85,34,49,48,85
455,Ogre,Swash,N/A,89,34,45,48,85
456,Ogre,Armsman,30,93,34,45,40,89
457,Ogre,Samurai,-10,93,34,45,40,89
458,Ogre,Thief,-20,85,38,45,48,85
459,Ogre,Assassin,-20,85,38,45,48,85
460,Ogre,Bandit,-10,89,34,45,48,85
461,Ogre,Pirate,0,85,38,45,48,85
462,Ogre,Nightshade,N/A,85,38,45,48,85
463,Ogre,Ninja,-20,89,34,45,48,85
464,Ogre,Mage,-10,85,42,49,40,85
465,Ogre,Illusionist,-20,85,42,49,40,85
466,Ogre,Warlock,0,85,42,45,44,85
467,Ogre,Enchanter,-20,85,42,49,40,85
468,Ogre,Mentalist,-20,85,42,49,40,85
469,Ogre,WuJen,-20,85,42,49,40,85
470,Ogre,Cleric,-10,85,38,53,40,85
471,Ogre,Crusader,0,85,34,53,40,89
472,Ogre,Druid,-20,85,34,53,44,85
473,Ogre,Shaman,0,85,38,53,40,85
474,Ogre,Priest,-10,85,38,53,40,85
475,Ogre,Shukenja,0,85,38,53,40,85
476,Ogre,Bard,N/A,85,38,53,40,85
477,Ogre,Jongleur,N/A,85,34,49,48,85
478,Ogre,Charlatan,N/A,85,38,53,40,85
479,Ogre,Skald,N/A,89,34,53,40,85
480,Ogre,Brew,N/A,93,34,49,40,85
481,G-Ogre,(none),N/A,92,30,40,35,92
482,G-Ogre,Warrior,30,100,30,40,35,96
483,G-Ogre,Barbarian,30,96,30,40,35,100
484,G-Ogre,Ranger,0,92,30,44,43,92
485,G-Ogre,Swash,N/A,96,30,40,43,92
486,G-Ogre,Armsman,10,100,30,40,35,96
487,G-Ogre,Samurai,-10,100,30,40,35,96
488,G-Ogre,Thief,-30,92,34,40,43,92
489,G-Ogre,Assassin,N/A,92,34,40,43,92
490,G-Ogre,Bandit,N/A,96,30,40,43,92
491,G-Ogre,Pirate,N/A,92,34,40,43,92
492,G-Ogre,Nightshade,N/A,92,34,40,43,92
493,G-Ogre,Ninja,N/A,96,30,40,43,92
494,G-Ogre,Mage,N/A,92,38,44,35,92
495,G-Ogre,Illusionist,N/A,92,38,44,35,92
496,G-Ogre,Warlock,N/A,92,38,40,39,92
497,G-Ogre,Enchanter,N/A,92,38,44,35,92
498,G-Ogre,Mentalist,N/A,92,38,44,35,92
499,G-Ogre,WuJen,N/A,92,38,44,35,92
500,G-Ogre,Cleric,-20,92,34,48,35,92
501,G-Ogre,Crusader,-20,92,30,48,35,96
502,G-Ogre,Druid,-20,92,30,48,39,92
503,G-Ogre,Shaman,0,92,34,48,35,92
504,G-Ogre,Priest,-20,92,34,48,35,92
505,G-Ogre,Shukenja,0,92,34,48,35,92
506,G-Ogre,Bard,N/A,92,34,48,35,92
507,G-Ogre,Jongleur,N/A,92,30,44,43,92
508,G-Ogre,Charlatan,N/A,92,34,48,35,92
509,G-Ogre,Skald,N/A,96,30,48,35,92
510,G-Ogre,Brew,N/A,100,30,44,35,92
511,H-Ogre,(none),N/A,76,46,49,51,78
512,H-Ogre,Warrior,10,84,46,49,51,82
513,H-Ogre,Barbarian,10,80,46,49,51,86
514,H-Ogre,Ranger,0,76,46,53,59,78
515,H-Ogre,Swash,-10,80,46,49,59,78
516,H-Ogre,Armsman,10,84,46,49,51,82
517,H-Ogre,Samurai,20,84,46,49,51,82
518,H-Ogre,Thief,0,76,50,49,59,78
519,H-Ogre,Assassin,-10,76,50,49,59,78
520,H-Ogre,Bandit,10,80,46,49,59,78
521,H-Ogre,Pirate,0,76,50,49,59,78
522,H-Ogre,Nightshade,-10,76,50,49,59,78
523,H-Ogre,Ninja,20,80,46,49,59,78
524,H-Ogre,Mage,-10,76,54,53,51,78
525,H-Ogre,Illusionist,-10,76,54,53,51,78
526,H-Ogre,Warlock,-10,76,54,49,55,78
527,H-Ogre,Enchanter,-10,76,54,53,51,78
528,H-Ogre,Mentalist,-20,76,54,53,51,78
529,H-Ogre,WuJen,10,76,54,53,51,78
530,H-Ogre,Cleric,0,76,50,57,51,78
531,H-Ogre,Crusader,0,76,46,57,51,82
532,H-Ogre,Druid,0,76,46,57,55,78
533,H-Ogre,Shaman,0,76,50,57,51,78
534,H-Ogre,Priest,0,76,50,57,51,78
535,H-Ogre,Shukenja,10,76,50,57,51,78
536,H-Ogre,Bard,-10,76,50,57,51,78
537,H-Ogre,Jongleur,-20,76,46,53,59,78
538,H-Ogre,Charlatan,0,76,50,57,51,78
539,H-Ogre,Skald,10,80,46,57,51,78
540,H-Ogre,Brew,10,84,46,53,51,78
541,Wemic,(none),N/A,70,50,45,65,70
